No.;ID Distrik;Tanggal kejadian;Distrik;Propinsi;Latitude dan Longitude
170;3203;02/08/2019;CIANJUR;JAWA BARAT;0
171;3202;02/08/2019;SUKABUMI;JAWA BARAT;0
172;3205;02/08/2019;GARUT;JAWA BARAT;0
173;3604;02/08/2019;SERANG;BANTEN;0
174;3271;02/08/2019;KOTA BOGOR;JAWA BARAT;0
175;3201;02/08/2019;BOGOR;JAWA BARAT;0
176;3602;02/08/2019;LEBAK;BANTEN;0
177;3278;02/08/2019;KOTA TASIKMALAYA;JAWA BARAT;0
178;3204;02/08/2019;BANDUNG;JAWA BARAT;0
179;3301;02/08/2019;CILACAP;JAWA TENGAH;0
180;3672;02/08/2019;KOTA CILEGON;BANTEN;0
181;1803;02/08/2019;LAMPUNG SELATAN;LAMPUNG;0
182;3217;02/08/2019;BANDUNG BARAT;JAWA BARAT;0
183;3510;16/07/2019;BANYUWANGI;JAWA TIMUR;0
184;5103;16/07/2019;BADUNG;BALI;0
185;3509;16/07/2019;JEMBER;JAWA TIMUR;0
186;5171;16/07/2019;KOTA DENPASAR;BALI;0
187;5108;16/07/2019;BULELENG;BALI;0
188;5101;16/07/2019;JEMBRANA;BALI;0
189;5104;16/07/2019;GIANYAR;BALI;0
190;8204;14/07/2019;HALMAHERA SELATAN;MALUKU UTARA;0
191;5204;13/07/2019;SUMBAWA;NUSA TENGGARA BARAT;Lintang : 8.97 LS Bujur : 117.83 BT
192;8204;11/07/2019;HALMAHERA SELATAN;MALUKU UTARA;0
193;8108;24/06/2019;MALUKU BARAT DAYA;MALUKU;0
194;9431;24/06/2019;MAMBERAMO TENGAH;PAPUA;0
195;9419;20/06/2019;SARMI;PAPUA;0
196;9431;20/06/2019;MAMBERAMO TENGAH;PAPUA;0
197;3320;22/05/2019;JEPARA;JAWA TENGAH;0
198;7202;11/04/2019;BANGGAI;SULAWESI TENGAH;Lintang: 1.90 LS Bujur : 122.54 BT
199;3529;02/04/2019;SUMENEP;JAWA TIMUR; Lintang : 7.24 LS Bujur : 114.60 BT 
200;7204;24/03/2019;POSO;SULAWESI TENGAH;0
201;3278;21/03/2019;KOTA TASIKMALAYA;JAWA BARAT;0
202;1306;20/03/2019;PADANG PARIAMAN;SUMATERA BARAT;Lintang : 0.46 LS Bujur : 100.23 BT 
203;5208;17/03/2019;LOMBOK UTARA;NUSA TENGGARA BARAT;Lintang : 8.30 LS Bujur : 116.60 BT
204;5203;17/03/2019;LOMBOK TIMUR;NUSA TENGGARA BARAT;Lintang : 8.30 LS Bujur : 116.60 BT
205;1310;28/02/2019;SOLOK SELATAN;SUMATERA BARAT;0
206;3205;11/02/2019;GARUT;JAWA BARAT;0
207;8207;07/02/2019;PULAU MOROTAI;MALUKU UTARA;0
208;1301;02/02/2019;KEPULAUAN MENTAWAI;SUMATERA BARAT;Lintang: 3.06 LS Bujur: 99.88 BT
209;8102;26/01/2019;MALUKU TENGGARA;MALUKU;Lintang : 5.51 LS Bujur : 133.81 BT
210;5301;22/01/2019;SUMBA BARAT;NUSA TENGGARA TIMUR;0
211;3202;08/01/2019;SUKABUMI;JAWA BARAT;0
212;9105;28/12/2018;MANOKWARI;PAPUA BARAT;0
213;7313;17/12/2018;WAJO;SULAWESI SELATAN;0
214;5201;06/12/2018;LOMBOK BARAT;NUSA TENGGARA BARAT;0
215;5107;06/12/2018;KARANGASEM;BALI;0
216;5208;06/12/2018;LOMBOK UTARA;NUSA TENGGARA BARAT;0
217;5108;06/12/2018;BULELENG;BALI;0
218;7603;15/11/2018;MAMASA;SULAWESI BARAT;0
219;5102;15/11/2018;TABANAN;BALI;0
220;7603;08/11/2018;MAMASA;SULAWESI BARAT;0
221;3509;11/10/2018;JEMBER;JAWA TIMUR;0
222;5108;11/10/2018;BULELENG;BALI;0
223;3512;11/10/2018;SITUBONDO;JAWA TIMUR;0
224;5101;11/10/2018;JEMBRANA;BALI;0
225;3529;11/10/2018;SUMENEP;JAWA TIMUR;0
226;3513;11/10/2018;PROBOLINGGO;JAWA TIMUR;0
227;7314;09/10/2018;SIDENRENG RAPPANG;SULAWESI SELATAN;0
228;5302;02/10/2018;SUMBA TIMUR;NUSA TENGGARA TIMUR;0
229;7210;28/09/2018;SIGI;SULAWESI TENGAH;0
230;7271;28/09/2018;KOTA PALU;SULAWESI TENGAH;0
231;7605;28/09/2018;PASANGKAYU;SULAWESI BARAT;0
232;7208;28/09/2018;PARIGI MOUTONG;SULAWESI TENGAH;0
233;7205;28/09/2018;DONGGALA;SULAWESI TENGAH;0
234;5207;19/08/2018;SUMBAWA BARAT;NUSA TENGGARA BARAT;0
235;5204;19/08/2018;SUMBAWA;NUSA TENGGARA BARAT;0
236;5203;19/08/2018;LOMBOK TIMUR;NUSA TENGGARA BARAT;0
237;5103;19/08/2018;BADUNG;BALI;0
238;5202;19/08/2018;LOMBOK TENGAH;NUSA TENGGARA BARAT;0
239;5102;15/08/2018;TABANAN;BALI;0
240;5108;15/08/2018;BULELENG;BALI;0
241;5102;13/08/2018;TABANAN;BALI;0
242;5102;09/08/2018;TABANAN;BALI;0
243;5108;09/08/2018;BULELENG;BALI;0
244;5102;08/08/2018;TABANAN;BALI;0
245;5102;07/08/2018;TABANAN;BALI;0
246;5104;06/08/2018;GIANYAR;BALI;0
247;5102;06/08/2018;TABANAN;BALI;0
248;5105;06/08/2018;KLUNGKUNG;BALI;0
249;5106;05/08/2018;BANGLI;BALI;0
250;5202;05/08/2018;LOMBOK TENGAH;NUSA TENGGARA BARAT;0
251;5108;05/08/2018;BULELENG;BALI;0
252;5107;05/08/2018;KARANGASEM;BALI;0
253;5201;05/08/2018;LOMBOK BARAT;NUSA TENGGARA BARAT;0
254;5271;05/08/2018;KOTA MATARAM;NUSA TENGGARA BARAT;0
255;5171;05/08/2018;KOTA DENPASAR;BALI;0
256;5203;05/08/2018;LOMBOK TIMUR;NUSA TENGGARA BARAT;0
257;5208;05/08/2018;LOMBOK UTARA;NUSA TENGGARA BARAT;0
258;5107;29/07/2018;KARANGASEM;BALI;0
259;5271;29/07/2018;KOTA MATARAM;NUSA TENGGARA BARAT;0
260;5201;29/07/2018;LOMBOK BARAT;NUSA TENGGARA BARAT;0
261;5208;29/07/2018;LOMBOK UTARA;NUSA TENGGARA BARAT;0
262;5203;29/07/2018;LOMBOK TIMUR;NUSA TENGGARA BARAT;0
263;5207;29/07/2018;SUMBAWA BARAT;NUSA TENGGARA BARAT;0
264;1371;21/07/2018;KOTA PADANG;SUMATERA BARAT;0
265;1303;21/07/2018;SOLOK;SUMATERA BARAT;0
266;3202;07/07/2018;SUKABUMI;JAWA BARAT;0
267;9419;15/06/2018;SARMI;PAPUA;0
268;3529;13/06/2018;SUMENEP;JAWA TIMUR;0
269;3304;18/04/2018;BANJARNEGARA;JAWA TENGAH;0
270;8201;16/04/2018;HALMAHERA BARAT;MALUKU UTARA;0
271;9413;26/02/2018;BOVEN DIGOEL;PAPUA;0
272;1109;08/02/2018;PIDIE;ACEH;0
273;3271;23/01/2018;KOTA BOGOR;JAWA BARAT;0
274;3602;23/01/2018;LEBAK;BANTEN;0
275;3201;23/01/2018;BOGOR;JAWA BARAT;0
276;3601;23/01/2018;PANDEGLANG;BANTEN;0
277;3202;23/01/2018;SUKABUMI;JAWA BARAT;0
278;3203;23/01/2018;CIANJUR;JAWA BARAT;0
279;3604;23/01/2018;SERANG;BANTEN;0
280;3172;23/01/2018;KOTA JAKARTA TIMUR;DKI JAKARTA;0
281;3603;23/01/2018;TANGERANG;BANTEN;0
282;3326;15/12/2017;PEKALONGAN;JAWA TENGAH;0
283;3279;15/12/2017;KOTA BANJAR;JAWA BARAT;0
284;3205;15/12/2017;GARUT;JAWA BARAT;0
285;3305;15/12/2017;KEBUMEN;JAWA TENGAH;0
286;3306;15/12/2017;PURWOREJO;JAWA TENGAH;0
287;3206;15/12/2017;TASIKMALAYA;JAWA BARAT;0
288;3207;15/12/2017;CIAMIS;JAWA BARAT;0
289;3218;15/12/2017;PANGANDARAN;JAWA BARAT;0
290;3204;15/12/2017;BANDUNG;JAWA BARAT;0
291;3302;15/12/2017;BANYUMAS;JAWA TENGAH;0
292;3301;15/12/2017;CILACAP;JAWA TENGAH;0
293;3304;15/12/2017;BANJARNEGARA;JAWA TENGAH;0
294;3307;15/12/2017;WONOSOBO;JAWA TENGAH;0
295;3404;15/12/2017;SLEMAN;DI YOGYAKARTA;0
296;3202;15/12/2017;SUKABUMI;JAWA BARAT;0
297;3329;15/12/2017;BREBES;JAWA TENGAH;0
298;3375;15/12/2017;KOTA PEKALONGAN;JAWA TENGAH;0
299;3203;15/12/2017;CIANJUR;JAWA BARAT;0
300;3278;15/12/2017;KOTA TASIKMALAYA;JAWA BARAT;0
301;3402;15/12/2017;BANTUL;DI YOGYAKARTA;0
302;1707;06/12/2017;LEBONG;BENGKULU;0
303;8207;18/11/2017;PULAU MOROTAI;MALUKU UTARA;0
304;8171;31/10/2017;KOTA AMBON;MALUKU;0
305;9471;28/10/2017;KOTA JAYAPURA;PAPUA;0
306;5308;10/10/2017;LEMBATA;NUSA TENGGARA TIMUR;0
307;8201;28/09/2017;HALMAHERA BARAT;MALUKU UTARA;0
308;1371;01/09/2017;KOTA PADANG;SUMATERA BARAT;0
309;1307;01/09/2017;AGAM;SUMATERA BARAT;0
310;1706;13/08/2017;MUKOMUKO;BENGKULU;0
311;3204;18/07/2017;BANDUNG;JAWA BARAT;0
312;7501;15/07/2017;BOALEMO;GORONTALO;0
313;1277;14/07/2017;KOTA PADANG SIDEMPUAN;SUMATERA UTARA;0
314;7204;29/05/2017;POSO;SULAWESI TENGAH;0
315;7210;29/05/2017;SIGI;SULAWESI TENGAH;0
316;1113;29/05/2017;GAYO LUES;ACEH;0
317;3206;24/04/2017;TASIKMALAYA;JAWA BARAT;0
318;1301;21/04/2017;KEPULAUAN MENTAWAI;SUMATERA BARAT;0
319;5171;22/03/2017;KOTA DENPASAR;BALI;0
320;8207;08/03/2017;PULAU MOROTAI;MALUKU UTARA;0
321;1118;16/02/2017;PIDIE JAYA;ACEH;0
322;1212;16/01/2017;DELI SERDANG;SUMATERA UTARA;0
323;1118;07/12/2016;PIDIE JAYA;ACEH;0
324;1109;07/12/2016;PIDIE;ACEH;0
325;1110;07/12/2016;BIREUEN;ACEH;0
326;3509;16/11/2016;JEMBER;JAWA TIMUR;0
327;3507;16/11/2016;MALANG;JAWA TIMUR;0
328;3273;06/11/2016;KOTA BANDUNG;JAWA BARAT;0
329;9431;28/08/2016;MAMBERAMO TENGAH;PAPUA;0
330;5205;01/08/2016;DOMPU;NUSA TENGGARA BARAT;0
331;8271;08/06/2016;KOTA TERNATE;MALUKU UTARA;0
332;1501;02/06/2016;KERINCI;JAMBI;0
333;1706;02/06/2016;MUKOMUKO;BENGKULU;0
334;1302;02/06/2016;PESISIR SELATAN;SUMATERA BARAT;0
335;1371;02/06/2016;KOTA PADANG;SUMATERA BARAT;0
336;1709;10/04/2016;BENGKULU TENGAH;BENGKULU;0
337;3512;04/04/2016;SITUBONDO;JAWA TIMUR;0
338;5208;31/03/2016;LOMBOK UTARA;NUSA TENGGARA BARAT;0
339;8201;24/02/2016;HALMAHERA BARAT;MALUKU UTARA;0
340;5301;12/02/2016;SUMBA BARAT;NUSA TENGGARA TIMUR;0
341;8104;17/01/2016;BURU;MALUKU;0
342;8106;28/12/2015;SERAM BAGIAN BARAT;MALUKU;0
343;6571;21/12/2015;KOTA TARAKAN;KALIMANTAN UTARA;0
344;3601;28/11/2015;PANDEGLANG;BANTEN;0
345;8201;16/11/2015;HALMAHERA BARAT;MALUKU UTARA;0
346;1172;08/11/2015;KOTA SABANG;ACEH;0
347;3601;04/11/2015;PANDEGLANG;BANTEN;0
348;5307;04/11/2015;ALOR;NUSA TENGGARA TIMUR;0
349;9171;24/09/2015;KOTA SORONG;PAPUA BARAT;0
350;9428;28/07/2015;MAMBERAMO RAYA;PAPUA;0
351;3508;26/07/2015;LUMAJANG;JAWA TIMUR;0
352;3301;25/07/2015;CILACAP;JAWA TENGAH;0
353;3519;25/06/2015;MADIUN;JAWA TIMUR;0
354;7504;16/06/2015;BONE BOLANGO;GORONTALO;0
355;5304;16/06/2015;TIMOR TENGAH SELATAN;NUSA TENGGARA TIMUR;0
356;7103;16/06/2015;KEPULAUAN SANGIHE;SULAWESI UTARA;0
357;7106;15/06/2015;MINAHASA UTARA;SULAWESI UTARA;0
358;1310;13/06/2015;SOLOK SELATAN;SUMATERA BARAT;0
359;5302;11/06/2015;SUMBA TIMUR;NUSA TENGGARA TIMUR;0
360;8102;10/06/2015;MALUKU TENGGARA;MALUKU;0
361;3503;05/06/2015;TRENGGALEK;JAWA TIMUR;0
362;1116;01/06/2015;ACEH JAYA;ACEH;0
363;8171;01/06/2015;KOTA AMBON;MALUKU;0
364;1704;31/05/2015;KAUR;BENGKULU;0
365;9427;31/05/2015;SUPIORI;PAPUA;0
366;8201;18/03/2015;HALMAHERA BARAT;MALUKU UTARA;0
367;7604;08/02/2015;MAMUJU;SULAWESI BARAT;0
368;8201;21/11/2014;HALMAHERA BARAT;MALUKU UTARA;0
369;7171;15/11/2014;KOTA MANADO;SULAWESI UTARA;0
370;1708;28/10/2014;KEPAHIANG;BENGKULU;0
371;1374;11/09/2014;KOTA PADANG PANJANG;SUMATERA BARAT;0
372;1305;11/09/2014;TANAH DATAR;SUMATERA BARAT;0
373;3520;14/07/2014;MAGETAN;JAWA TIMUR;0
374;3206;22/06/2014;TASIKMALAYA;JAWA BARAT;0
375;3512;04/05/2014;SITUBONDO;JAWA TIMUR;0
376;8171;02/05/2014;KOTA AMBON;MALUKU;0
377;1608;31/03/2014;OGAN KOMERING ULU SELATAN;SUMATERA SELATAN;0
378;3207;27/01/2014;CIAMIS;JAWA BARAT;0
379;3301;25/01/2014;CILACAP;JAWA TENGAH;0
380;3306;25/01/2014;PURWOREJO;JAWA TENGAH;0
381;3218;25/01/2014;PANGANDARAN;JAWA BARAT;0
382;3305;25/01/2014;KEBUMEN;JAWA TENGAH;0
383;3205;25/01/2014;GARUT;JAWA BARAT;0
384;3402;25/01/2014;BANTUL;DI YOGYAKARTA;0
385;3302;25/01/2014;BANYUMAS;JAWA TENGAH;0
386;3202;15/01/2014;SUKABUMI;JAWA BARAT;0
387;3202;18/12/2013;SUKABUMI;JAWA BARAT;0
388;3206;31/10/2013;TASIKMALAYA;JAWA BARAT;0
389;1109;22/10/2013;PIDIE;ACEH;0
390;3208;13/07/2013;KUNINGAN;JAWA BARAT;0
391;3329;13/07/2013;BREBES;JAWA TENGAH;0
392;3508;08/07/2013;LUMAJANG;JAWA TIMUR;0
393;3510;08/07/2013;BANYUWANGI;JAWA TIMUR;0
394;3507;08/07/2013;MALANG;JAWA TIMUR;0
395;1117;02/07/2013;BENER MERIAH;ACEH;0
396;1106;02/07/2013;ACEH TENGAH;ACEH;0
397;5201;22/06/2013;LOMBOK BARAT;NUSA TENGGARA BARAT;0
398;3304;19/04/2013;BANJARNEGARA;JAWA TENGAH;0
